,timestampa,sid,msg,clasificacion,prioridad,protocolo,origen,destino,puerto,id,ip,localizacion,nombre_responsable,analisis_id,id,puertosabiertos,numberports,servicios,servicios_inseguros,vulnerabilidades
5,2022-07-03 01:18:27,2018056.0,ET WEB_SERVER Possible XXE SYSTEM ENTITY in POST BODY. ,A Network Trojan was detected,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
6,2022-07-03 01:18:27,2031562.0,ET EXPLOIT Zimbra <8.8.11 - XML External Entity Injection/SSRF Attempt (CVE-2019-9621) ,Attempted User Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
7,2022-07-03 01:18:27,2037040.0,ET EXPLOIT Possible Zimbra Autodiscover Servlet XXE (CVE-2019-9670) ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
46,2022-07-03 03:57:41,2011465.0,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt ,Web Application Attack,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
47,2022-07-03 03:57:41,2034125.0,ET EXPLOIT Apache HTTP Server 2.4.49 - Path Traversal Attempt (CVE-2021-41773) M2 ,Attempted Administrator Privilege Gain,1,TCP,185.7.214.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
80,2022-07-03 06:57:49,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,170.231.236.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
81,2022-07-03 06:57:49,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,170.231.236.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
86,2022-07-03 07:30:04,2006380.0,ET POLICY Outgoing Basic Auth Base64 HTTP Password detected unencrypted ,Potential Corporate Privacy Violation,1,TCP,172.18.0.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
97,2022-07-03 08:02:34,2010698.0,ET WEB_SERVER Possible D-Link Router HNAP Protocol Security Bypass Attempt ,Web Application Attack,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
98,2022-07-03 08:02:34,2019309.0,ET WEB_SERVER WGET Command Specifying Output in HTTP Headers ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
99,2022-07-03 08:02:34,2020899.0,ET EXPLOIT D-Link Devices Home Network Administration Protocol Command Execution ,Attempted Administrator Privilege Gain,1,TCP,194.31.98.0,172.18.0.0,80,web,172.18.0.0,None,admin,1,1,"80/TCP, 443/TCP, 3306/TCP, 40000/UDP",4,3,0,15
